path,label,generator,split
data/CIFake/train/REAL/4651 (7).jpg,0,real,val
data/CIFake/train/REAL/1578 (4).jpg,0,real,val
data/CIFake/train/REAL/2289 (7).jpg,0,real,val
data/CIFake/train/REAL/0764 (7).jpg,0,real,val
data/CIFake/train/REAL/4160 (2).jpg,0,real,val
data/CIFake/train/REAL/3015 (3).jpg,0,real,val
data/CIFake/train/REAL/1880 (4).jpg,0,real,val
data/CIFake/train/REAL/0050 (7).jpg,0,real,val
data/CIFake/train/REAL/4059 (2).jpg,0,real,val
data/CIFake/train/REAL/2000 (10).jpg,0,real,val
data/CIFake/train/REAL/2674 (7).jpg,0,real,val
data/CIFake/train/REAL/2708 (3).jpg,0,real,val
data/CIFake/train/REAL/4521 (2).jpg,0,real,val
data/CIFake/train/REAL/3160 (10).jpg,0,real,val
data/CIFake/train/REAL/3514 (7).jpg,0,real,val
data/CIFake/train/REAL/0873 (9).jpg,0,real,val
data/CIFake/train/REAL/3369 (6).jpg,0,real,val
data/CIFake/train/REAL/4942 (5).jpg,0,real,val
data/CIFake/train/REAL/2038 (5).jpg,0,real,val
data/CIFake/train/REAL/4841 (8).jpg,0,real,val
data/CIFake/train/REAL/3182 (7).jpg,0,real,val
data/CIFake/train/REAL/1382 (7).jpg,0,real,val
data/CIFake/train/REAL/3537 (5).jpg,0,real,val
data/CIFake/train/REAL/4524 (10).jpg,0,real,val
data/CIFake/train/REAL/3880 (4).jpg,0,real,val
data/CIFake/train/REAL/1891 (5).jpg,0,real,val
data/CIFake/train/REAL/4716.jpg,0,real,val
data/CIFake/train/REAL/2079 (5).jpg,0,real,val
data/CIFake/train/REAL/0331 (6).jpg,0,real,val
data/CIFake/train/REAL/0597.jpg,0,real,val
data/CIFake/train/REAL/1001 (7).jpg,0,real,val
data/CIFake/train/REAL/1647 (7).jpg,0,real,val
data/CIFake/train/REAL/3295 (5).jpg,0,real,val
data/CIFake/train/REAL/4926 (9).jpg,0,real,val
data/CIFake/train/REAL/1711 (9).jpg,0,real,val
data/CIFake/train/REAL/0498 (10).jpg,0,real,val
data/CIFake/train/REAL/3726 (6).jpg,0,real,val
data/CIFake/train/REAL/0359 (10).jpg,0,real,val
data/CIFake/train/REAL/1624 (7).jpg,0,real,val
data/CIFake/train/REAL/3996 (5).jpg,0,real,val
data/CIFake/train/REAL/3571 (4).jpg,0,real,val
data/CIFake/train/REAL/4036 (5).jpg,0,real,val
data/CIFake/train/REAL/2317 (9).jpg,0,real,val
data/CIFake/train/REAL/3357 (8).jpg,0,real,val
data/CIFake/train/REAL/4295 (5).jpg,0,real,val
data/CIFake/train/REAL/1829 (3).jpg,0,real,val
data/CIFake/train/REAL/0061 (6).jpg,0,real,val
data/CIFake/train/REAL/1721.jpg,0,real,val
data/CIFake/train/REAL/4233 (8).jpg,0,real,val
data/CIFake/train/REAL/1735.jpg,0,real,val
data/CIFake/train/REAL/2287 (3).jpg,0,real,val
data/CIFake/train/REAL/4412.jpg,0,real,val
data/CIFake/train/REAL/3642 (5).jpg,0,real,val
data/CIFake/train/REAL/1539 (3).jpg,0,real,val
data/CIFake/train/REAL/2055 (3).jpg,0,real,val
data/CIFake/train/REAL/3974 (2).jpg,0,real,val
data/CIFake/train/REAL/3514 (3).jpg,0,real,val
data/CIFake/train/REAL/3638 (5).jpg,0,real,val
data/CIFake/train/REAL/2697 (8).jpg,0,real,val
data/CIFake/train/REAL/3079 (7).jpg,0,real,val
data/CIFake/train/REAL/2373 (7).jpg,0,real,val
data/CIFake/train/REAL/4184 (8).jpg,0,real,val
data/CIFake/train/REAL/1303 (6).jpg,0,real,val
data/CIFake/train/REAL/4070 (9).jpg,0,real,val
data/CIFake/train/REAL/4563 (7).jpg,0,real,val
data/CIFake/train/REAL/2024.jpg,0,real,val
data/CIFake/train/REAL/2650 (5).jpg,0,real,val
data/CIFake/train/REAL/1642 (7).jpg,0,real,val
data/CIFake/train/REAL/2807 (5).jpg,0,real,val
data/CIFake/train/REAL/4982 (2).jpg,0,real,val
data/CIFake/train/REAL/1524 (8).jpg,0,real,val
data/CIFake/train/REAL/0522.jpg,0,real,val
data/CIFake/train/REAL/1258 (4).jpg,0,real,val
data/CIFake/train/REAL/1394 (3).jpg,0,real,val
data/CIFake/train/REAL/3773 (6).jpg,0,real,val
data/CIFake/train/REAL/2492 (9).jpg,0,real,val
data/CIFake/train/REAL/2937 (2).jpg,0,real,val
data/CIFake/train/REAL/4071.jpg,0,real,val
data/CIFake/train/REAL/3327 (2).jpg,0,real,val
data/CIFake/train/REAL/4449 (3).jpg,0,real,val
data/CIFake/train/REAL/3130 (9).jpg,0,real,val
data/CIFake/train/REAL/4136 (4).jpg,0,real,val
data/CIFake/train/REAL/4649 (8).jpg,0,real,val
data/CIFake/train/REAL/4854 (10).jpg,0,real,val
data/CIFake/train/REAL/1112 (10).jpg,0,real,val
data/CIFake/train/REAL/1229 (4).jpg,0,real,val
data/CIFake/train/REAL/1626 (4).jpg,0,real,val
data/CIFake/train/REAL/3511 (9).jpg,0,real,val
data/CIFake/train/REAL/4509.jpg,0,real,val
data/CIFake/train/REAL/4979.jpg,0,real,val
data/CIFake/train/REAL/2888.jpg,0,real,val
data/CIFake/train/REAL/4335 (4).jpg,0,real,val
data/CIFake/train/REAL/2328 (4).jpg,0,real,val
data/CIFake/train/REAL/2152 (8).jpg,0,real,val
data/CIFake/train/REAL/4379 (10).jpg,0,real,val
data/CIFake/train/REAL/2219 (9).jpg,0,real,val
data/CIFake/train/REAL/1126 (4).jpg,0,real,val
data/CIFake/train/REAL/2507 (10).jpg,0,real,val
data/CIFake/train/REAL/4898.jpg,0,real,val
data/CIFake/train/REAL/2898 (2).jpg,0,real,val
data/CIFake/train/REAL/0343 (5).jpg,0,real,val
data/CIFake/train/REAL/3617 (10).jpg,0,real,val
data/CIFake/train/REAL/2769 (7).jpg,0,real,val
data/CIFake/train/REAL/2067 (4).jpg,0,real,val
data/CIFake/train/REAL/3476 (6).jpg,0,real,val
data/CIFake/train/REAL/0867 (2).jpg,0,real,val
data/CIFake/train/REAL/2954 (4).jpg,0,real,val
data/CIFake/train/REAL/3528 (8).jpg,0,real,val
data/CIFake/train/REAL/4021 (2).jpg,0,real,val
data/CIFake/train/REAL/0493 (9).jpg,0,real,val
data/CIFake/train/REAL/2384 (9).jpg,0,real,val
data/CIFake/train/REAL/3956 (6).jpg,0,real,val
data/CIFake/train/REAL/2862 (10).jpg,0,real,val
data/CIFake/train/REAL/0648.jpg,0,real,val
data/CIFake/train/REAL/2972 (10).jpg,0,real,val
data/CIFake/train/REAL/3704 (3).jpg,0,real,val
data/CIFake/train/REAL/3831 (2).jpg,0,real,val
data/CIFake/train/REAL/2519 (8).jpg,0,real,val
data/CIFake/train/REAL/4908 (8).jpg,0,real,val
data/CIFake/train/REAL/2124 (4).jpg,0,real,val
data/CIFake/train/REAL/4519 (5).jpg,0,real,val
data/CIFake/train/REAL/0851.jpg,0,real,val
data/CIFake/train/REAL/3934 (9).jpg,0,real,val
data/CIFake/train/REAL/4901.jpg,0,real,val
data/CIFake/train/REAL/2513 (9).jpg,0,real,val
data/CIFake/train/REAL/0752 (2).jpg,0,real,val
data/CIFake/train/REAL/4890.jpg,0,real,val
data/CIFake/train/REAL/3855 (6).jpg,0,real,val
data/CIFake/train/REAL/1141.jpg,0,real,val
data/CIFake/train/REAL/2524 (5).jpg,0,real,val
data/CIFake/train/REAL/2350 (7).jpg,0,real,val
data/CIFake/train/REAL/2021 (3).jpg,0,real,val
data/CIFake/train/REAL/2428 (4).jpg,0,real,val
data/CIFake/train/REAL/0783 (6).jpg,0,real,val
data/CIFake/train/REAL/0372 (9).jpg,0,real,val
data/CIFake/train/REAL/1716 (8).jpg,0,real,val
data/CIFake/train/REAL/3478.jpg,0,real,val
data/CIFake/train/REAL/0480 (2).jpg,0,real,val
data/CIFake/train/REAL/3632 (8).jpg,0,real,val
data/CIFake/train/REAL/2015.jpg,0,real,val
data/CIFake/train/REAL/1932 (7).jpg,0,real,val
data/CIFake/train/REAL/1101 (9).jpg,0,real,val
data/CIFake/train/REAL/0357 (4).jpg,0,real,val
data/CIFake/train/REAL/0841 (5).jpg,0,real,val
data/CIFake/train/REAL/0759 (8).jpg,0,real,val
data/CIFake/train/REAL/4902.jpg,0,real,val
data/CIFake/train/REAL/0472 (4).jpg,0,real,val
data/CIFake/train/REAL/4817 (3).jpg,0,real,val
data/CIFake/train/REAL/1191 (8).jpg,0,real,val
data/CIFake/train/REAL/0269 (2).jpg,0,real,val
data/CIFake/train/REAL/0795 (4).jpg,0,real,val
data/CIFake/train/REAL/2817 (4).jpg,0,real,val
data/CIFake/train/REAL/2816 (7).jpg,0,real,val
data/CIFake/train/REAL/1574.jpg,0,real,val
data/CIFake/train/REAL/2112 (4).jpg,0,real,val
data/CIFake/train/REAL/2161 (5).jpg,0,real,val
data/CIFake/train/REAL/0525 (10).jpg,0,real,val
data/CIFake/train/REAL/0830 (8).jpg,0,real,val
data/CIFake/train/REAL/1305 (10).jpg,0,real,val
data/CIFake/train/REAL/2175 (8).jpg,0,real,val
data/CIFake/train/REAL/3905 (3).jpg,0,real,val
data/CIFake/train/REAL/2118 (2).jpg,0,real,val
data/CIFake/train/REAL/1548 (5).jpg,0,real,val
data/CIFake/train/REAL/0857 (4).jpg,0,real,val
data/CIFake/train/REAL/1265 (7).jpg,0,real,val
data/CIFake/train/REAL/4949 (7).jpg,0,real,val
data/CIFake/train/REAL/4997 (9).jpg,0,real,val
